Centre County,Pennsylvania,Centre County Director ,(814) 355-6703,http://www.co.centre.pa.us/,ocd-division/country:us/state:pa/county:centre
Chester County,Pennsylvania,"Chester County Director, Chester Co. Voter Svcs",(610) 344-6410,http://dsf.chesco.org/,ocd-division/country:us/state:pa/county:chester
Clarion County,Pennsylvania,Clarion County Elections Director,(814) 226-4000 Ext. 2006,http://www.co.clarion.pa.us/,ocd-division/country:us/state:pa/county:clarion
Clearfield County,Pennsylvania,Clearfield County Director of Elections,(814) 765-2642 Ext. 5053,http://www.clearfieldco.org/,ocd-division/country:us/state:pa/county:clearfield
Clinton County,Pennsylvania,Clinton County Dir. of Elections/Voter Registration,(570) 893-4019,http://www.clintoncountypa.com/,ocd-division/country:us/state:pa/county:clinton
Columbia County,Pennsylvania,Columbia County Voter Registrar/ Election Court,(570) 389-5640,http://www.columbiapa.org/,ocd-division/country:us/state:pa/county:columbia
Crawford County,Pennsylvania,Crawford County Director of Elections,(814) 333-7308,http://www.crawfordcountypa.gov/,ocd-division/country:us/state:pa/county:crawford
Cumberland County,Pennsylvania,Cumberland County Director of Elections,(717) 240-6385,http://www.ccpa.net/,ocd-division/country:us/state:pa/county:cumberland
Dauphin County,Pennsylvania,Dauphin County Director of Elections & Reg.,(717) 780-6360,http://www.dauphincounty.org/,ocd-division/country:us/state:pa/county:dauphin
Delaware County,Pennsylvania,"Delaware County Chief Clerk/Director, Delaware Co.",(610) 891-4673,http://www.co.delaware.pa.us/,ocd-division/country:us/state:pa/county:delaware
Elk County,Pennsylvania,Elk County Director ,(814) 776-5337,http://www.co.elk.pa.us/elections/,ocd-division/country:us/state:pa/county:elk
Erie County,Pennsylvania,Erie County Election Supervisor,(814) 451-6276,http://www.eriecountygov.org/,ocd-division/country:us/state:pa/county:erie
Fayette County,Pennsylvania,Fayette County Designee authorized to receive information,(724) 430-1289,http://www.co.fayette.pa.us/fayette/site/default.asp,ocd-division/country:us/state:pa/county:fayette
Forest County,Pennsylvania,Forest County Voter Registrar/Elections Clerk,(814) 755-3537,http://www.co.forest.pa.us/,ocd-division/country:us/state:pa/county:forest
Franklin County,Pennsylvania,Franklin County Chief Clerk/Co. Admin.,(717) 261-3810,http://www.co.franklin.pa.us/franklin/site/default.asp,ocd-division/country:us/state:pa/county:franklin
Fulton County,Pennsylvania,Fulton County Director of Elections,(717) 485-3691,http://www.co.fulton.pa.us,ocd-division/country:us/state:pa/county:fulton
Greene County,Pennsylvania,Greene County Director of Elections,(724) 852-5304,http://www.co.greene.pa.us/,ocd-division/country:us/state:pa/county:greene
Huntingdon County,Pennsylvania,Huntingdon County Deputy Chief Clerk/Elections Coordinator,(814) 643-3091,http://huntingdoncounty.net/hunt_co/site/default.asp,ocd-division/country:us/state:pa/county:huntingdon
Indiana County,Pennsylvania,Indiana County Chief Clerk,(724) 465-3805,http://www.countyofindiana.org/,ocd-division/country:us/state:pa/county:indiana
Jefferson County,Pennsylvania,Jefferson County Chief Clerk,(814) 849-1603,http://www.jeffersoncountypa.com/,ocd-division/country:us/state:pa/county:jefferson
Juniata County,Pennsylvania,Juniata County Director of Elections,(717) 436-7706,http://www.co.juniata.pa.us/,ocd-division/country:us/state:pa/county:juniata
Lackawanna County,Pennsylvania,Lackawanna County Director of Elections,(570) 963-6737,http://www.lackawannacounty.org/,ocd-division/country:us/state:pa/county:lackawanna
Lancaster County,Pennsylvania,Lancaster County Deputy Chief Registrar/Clerk,(717) 295-3556,http://www.co.lancaster.pa.us/elections,ocd-division/country:us/state:pa/county:lancaster
Lawrence County,Pennsylvania,Lawrence County Director,(724) 656-2161,http://www.co.lawrence.pa.us/,ocd-division/country:us/state:pa/county:lawrence
Lebanon County,Pennsylvania,Lebanon County Director of Elections & Voter Registration,(717) 228-4428,http://www.lebcounty.org/lebanon/site/default.asp,ocd-division/country:us/state:pa/county:lebanon
Lehigh County,Pennsylvania,"Lehigh County Chief Cler, Board of Elections",(610) 782-3198,http://www.lehighcounty.org/,ocd-division/country:us/state:pa/county:lehigh
Luzerne County,Pennsylvania,Luzerne County Director of Elections,(570) 825-1715,http://www.luzernecounty.org/,ocd-division/country:us/state:pa/county:luzerne
Lycoming County,Pennsylvania,Lycoming County Director of Elections,(570) 327-2285,http://www.lyco.org/,ocd-division/country:us/state:pa/county:lycoming
Mckean County,Pennsylvania,Mckean County Director of Elections,(814) 887-3203,http://www.mckeancountypa.org/,ocd-division/country:us/state:pa/county:mckean
Mercer County,Pennsylvania,Mercer County Director of Elections/ Voter Reg.,(724) 662-7542,http://www.mcc.co.mercer.pa.us/,ocd-division/country:us/state:pa/county:mercer
Mifflin County,Pennsylvania,Mifflin County Director,(717) 248-6571,http://www.co.mifflin.pa.us/mifflin/site/default.asp,ocd-division/country:us/state:pa/county:mifflin
Monroe County,Pennsylvania,Monroe County Director of Elections/Voter Reg.,(570) 517-3165,http://www.co.monroe.pa.us/monroe/site/default.asp,ocd-division/country:us/state:pa/county:monroe
Montgomery County,Pennsylvania,Montgomery County ,(610) 278-3275,http://www2.montcopa.org/montco/site/default.asp,ocd-division/country:us/state:pa/county:montgomery
Montour County,Pennsylvania,Montour County Director of Elections ,(570) 271-3000,http://www.montourco.org/montour/site/default.asp,ocd-division/country:us/state:pa/county:montour
Northampton County,Pennsylvania,Northampton County Election Director,(610) 559-3055,http://www.northamptoncounty.org/northampton/site/default.asp,ocd-division/country:us/state:pa/county:northampton
Northumberland County,Pennsylvania,Northumberland County Director,(570) 988-4209,http://www.northumberlandco.org/default.asp?iId=HILHG,ocd-division/country:us/state:pa/county:northumberland
Perry County,Pennsylvania,Perry County Director of Elections & Voter Reg.,(717) 582-2131 Ext. 4110,http://www.perryco.org/perry/site/default.asp,ocd-division/country:us/state:pa/county:perry
Philadelphia County,Pennsylvania,Philadelphia County Acting Supervisor of Elections,(215) 686-3469,http://www.phillyelection.com/,ocd-division/country:us/state:pa/county:philadelphia
Pike County,Pennsylvania,Pike County Director,(570) 296-3426,http://www.pikepa.org/,ocd-division/country:us/state:pa/county:pike
Potter County,Pennsylvania,Potter County Director,(814) 274-8467,"",ocd-division/country:us/state:pa/county:potter
Schuylkill County,Pennsylvania,"Schuylkill County Director, Elections/Reg.",(570) 628-1467,http://www.co.schuylkill.pa.us/,ocd-division/country:us/state:pa/county:schuylkill
Snyder County,Pennsylvania,Snyder County Director of Elections,(570) 837-4286,http://www.snydercounty.org/snyder/site/default.asp,ocd-division/country:us/state:pa/county:snyder
Somerset County,Pennsylvania,"Somerset County Director, Elections & Reg.",(814) 445-1549,http://www.co.somerset.pa.us/,ocd-division/country:us/state:pa/county:somerset
Sullivan County,Pennsylvania,Sullivan County Director of Elections/Voter Reg.,(570) 946-5201,http://www.sullivancounty-pa.us/,ocd-division/country:us/state:pa/county:sullivan
Susquehanna County,Pennsylvania,Susquehanna County Election Director,(570) 278-4600 Ext. 220,http://www.susqco.com/,ocd-division/country:us/state:pa/county:susquehanna
Tioga County,Pennsylvania,Tioga County Director of Elections,(570) 723-8230,http://www.seda-cog.org/tioga/site/default.asp,ocd-division/country:us/state:pa/county:tioga
Union County,Pennsylvania,Union County Chief Election Coordinator,(570) 524-8603,http://www.unioncountypa.org/,ocd-division/country:us/state:pa/county:union
Venango County,Pennsylvania,Venango County Chief Clerk/Director of Elections,(814) 432-9508,http://www.co.venango.pa.us/home/index.htm,ocd-division/country:us/state:pa/county:venango
Warren County,Pennsylvania,Warren County Director of Elections/Voter Registration,(814) 728-3406,http://www.warren-county.net/,ocd-division/country:us/state:pa/county:warren
Washington County,Pennsylvania,Washington County Director of Elections,(724) 228-6750,http://www.co.washington.pa.us/,ocd-division/country:us/state:pa/county:washington
Wayne County,Pennsylvania,Wayne County Director of Elections,(570) 253-5978,http://www.co.wayne.pa.us/,ocd-division/country:us/state:pa/county:wayne
Westmoreland County,Pennsylvania,Westmoreland County Director,(724) 830-3150,http://www.co.westmoreland.pa.us/,ocd-division/country:us/state:pa/county:westmoreland
Wyoming County,Pennsylvania,Wyoming County Director of Elections,(570) 996-2226,http://www.wycopa.org/,ocd-division/country:us/state:pa/county:wyoming
York County,Pennsylvania,York County Director,(717) 771-9604,http://www.york-county.org/voters/election.htm,ocd-division/country:us/state:pa/county:york
